id;city_name;location;latest_recorded_population;valid_from;valid_to
1;syndicate haptic;Bedfordshire;40895;2019-10-21;2019-10-21
2;Baby Credit Card Account Nevada;Persistent transparent Chips;90845;2019-10-21;2019-10-21
3;strategize;value-added Savings Account;91185;2019-10-21;2019-10-22
4;Generic Advanced;HDD Security Virginia;69665;2019-10-21;2019-10-21
5;alarm;quantify;37443;2019-10-21;2019-10-22
6;Handmade Unbranded;Chief Coves Concrete;98484;2019-10-22;2019-10-21
7;Fresh;strategy instruction set Persistent;60789;2019-10-21;2019-10-21
8;navigate;neural;463;2019-10-21;2019-10-21
9;synergize;JSON National;46570;2019-10-21;2019-10-21
10;District Idaho Grocery;Concrete Towels Avon;41892;2019-10-22;2019-10-21
