id;cold_room_sensor_number;recorded_when;temperature;valid_from;valid_to
1;53429;2019-10-21;54073;2019-10-22;2019-10-21
2;50479;2019-10-21;71845;2019-10-21;2019-10-21
3;11849;2019-10-22;96151;2019-10-21;2019-10-21
4;55270;2019-10-21;39655;2019-10-22;2019-10-22
5;87934;2019-10-21;80878;2019-10-22;2019-10-21
6;30978;2019-10-21;29004;2019-10-21;2019-10-21
7;81641;2019-10-21;50151;2019-10-21;2019-10-22
8;25046;2019-10-21;62487;2019-10-21;2019-10-21
9;85068;2019-10-21;98190;2019-10-21;2019-10-21
10;1215;2019-10-22;67401;2019-10-22;2019-10-22
