id;currency_rate_date;from_currency_code;to_currency_code;average_rate;end_of_day_rate;last_edited_by;last_edited_when
1;2019-10-22;Kids;withdrawal Shirt;6134;56444;turquoise green Cambridgeshire;2019-10-21
2;2019-10-22;Guinea Franc Administrator;Keyboard;7462;12138;data-warehouse Intelligent Saudi Riyal;2019-10-22
3;2019-10-21;invoice Sharable;Savings Account;30625;17375;payment navigating;2019-10-21
4;2019-10-22;AI Ports pink;Iraq Buckinghamshire;17688;73361;parse Computers;2019-10-21
5;2019-10-22;synergies open-source;synthesize Concrete;53531;61894;access;2019-10-21
6;2019-10-22;Officer primary;Sleek Cotton Computer intermediate withdrawal;49933;84435;Rustic;2019-10-21
7;2019-10-22;FTP;alarm;47601;81068;Investment Account RSS;2019-10-21
8;2019-10-21;Direct Security bluetooth;Quality;80888;43760;Extended;2019-10-21
9;2019-10-21;Triple-buffered;Stream withdrawal withdrawal;89511;45012;Polarised Senior;2019-10-21
10;2019-10-21;Computer matrix Berkshire;Small Steel Computer synthesize deposit;80213;7125;Books;2019-10-21
