id;customer_category_name;valid_from;valid_to
1;Cloned quantifying;2019-10-21;2019-10-21
2;Executive Synergistic;2019-10-21;2019-10-21
3;Licensed Metal Towels Namibia;2019-10-22;2019-10-22
4;indexing initiatives;2019-10-22;2019-10-21
5;overriding Bermudian Dollar (customarily known as Bermuda Dollar);2019-10-21;2019-10-21
6;Ports generate;2019-10-21;2019-10-22
7;Avon cross-platform Wall;2019-10-22;2019-10-21
8;Bedfordshire end-to-end GB;2019-10-21;2019-10-21
9;input Andorra yellow;2019-10-21;2019-10-21
10;Pizza Enterprise-wide Division;2019-10-21;2019-10-21
