id;carrier_tracking_number;quantity;unit_price;unit_price_discount;line_total;tax_rate;picked_quantity;picking_completed_when;last_edited_by;last_edited_when
1;virtual;55250;56328;52016;11995;14287;91679;2019-10-21;foreground Avon tangible;2019-10-22
2;Credit Card Account Gorgeous Soft Shirt artificial intelligence;13;18903;51112;78301;4685;71503;2019-10-21;circuit Awesome Fresh Shoes;2019-10-22
3;User-centric bypass;31627;93088;10189;82671;36023;12992;2019-10-21;transmitting local area network;2019-10-21
4;Chief technologies Regional;37731;93632;96407;67514;8928;11602;2019-10-21;Borders;2019-10-21
5;invoice feed Games;16695;25423;71304;87551;66638;18280;2019-10-21;hack;2019-10-21
6;Palladium data-warehouse Sleek;78182;63433;64414;99946;4818;10480;2019-10-21;Markets Cambridgeshire;2019-10-21
7;Court orchid;36870;77078;36981;288;5235;85895;2019-10-21;architectures;2019-10-21
8;calculating grey;65735;86976;47228;73049;88015;64771;2019-10-22;El Salvador Colon US Dollar Checking Account fault-tolerant;2019-10-22
9;deposit monitor utilisation;64483;5219;39513;68219;71320;46815;2019-10-22;Senior 5th generation;2019-10-21
10;Licensed Wooden Cheese Borders attitude-oriented;83548;68804;1469;24188;37909;91106;2019-10-21;Clothing Frozen web-readiness;2019-10-21
