id;payment_method_name;active_ind;valid_from;valid_to
1;Mobility;false;2019-10-21;2019-10-21
2;Baht;false;2019-10-21;2019-10-21
3;application;false;2019-10-21;2019-10-21
4;proactive Checking Account;false;2019-10-21;2019-10-21
5;Technician Architect calculate;false;2019-10-21;2019-10-21
6;Movies Sports;false;2019-10-21;2019-10-21
7;compress UAE Dirham Dam;false;2019-10-21;2019-10-21
8;partnerships Terrace Hat;true;2019-10-21;2019-10-21
9;fuchsia;false;2019-10-21;2019-10-21
10;deposit;false;2019-10-21;2019-10-21
