id;product_brand_name;photo;photo_content_type
1;copy;../fake-data/blob/hipster.png;image/png
2;Senior;../fake-data/blob/hipster.png;image/png
3;encoding;../fake-data/blob/hipster.png;image/png
4;strategic withdrawal;../fake-data/blob/hipster.png;image/png
5;productize;../fake-data/blob/hipster.png;image/png
6;COM;../fake-data/blob/hipster.png;image/png
7;SMTP Chair;../fake-data/blob/hipster.png;image/png
8;open-source redundant;../fake-data/blob/hipster.png;image/png
9;Cedi;../fake-data/blob/hipster.png;image/png
10;Montana Adaptive;../fake-data/blob/hipster.png;image/png
