id;video_url;highlights;long_description;short_description;description;care_instructions;product_type;model_name;model_number;fabric_type;special_features;product_compliance_certificate;genuine_and_legal;country_of_origin;usage_and_side_effects;safety_warnning;warranty_period;warranty_policy
1;bypass Central infomediaries;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;well-modulated Investment Account;Bedfordshire ubiquitous Customer;process improvement schemas;bricks-and-clicks;../fake-data/blob/hipster.txt;optical copying;true;solid state Home Loan Account out-of-the-box;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;auxiliary calculating;Cape Tools
2;Jamaican Dollar;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Pennsylvania Island;withdrawal olive;sky blue Concrete Money Market Account;back up Berkshire;../fake-data/blob/hipster.txt;Tasty;true;productize Investment Account online;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Principal;Pitcairn Islands Money Market Account
3;Radial Granite violet;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Small Steel Chips;Fundamental withdrawal;Rubber panel USB;Investment Account feed program;../fake-data/blob/hipster.txt;interfaces focus group Web;true;Cambridgeshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Wooden;transmitting
4;Money Market Account reinvent;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Swaziland Louisiana;IB;Licensed;quantifying Ball;../fake-data/blob/hipster.txt;hacking feed;true;Rubber Concrete;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;sky blue;copy
5;Oklahoma JSON Somali Shilling;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;time-frame non-volatile;Implementation Benin Operative;calculating;Soft;../fake-data/blob/hipster.txt;haptic;false;Generic Wooden Keyboard interface;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Personal Loan Account Planner bandwidth;Soft pixel Mouse
6;Latvian Lats;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Kids Multi-tiered;Falkland Islands (Malvinas) innovative;microchip neural;indigo;../fake-data/blob/hipster.txt;deploy;true;ADP compress;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Connecticut robust Interactions;syndicate empowering monitor
7;Sports Harbors cutting-edge;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Small Steel Towels Credit Card Account Sleek Plastic Computer;Director Bedfordshire Money Market Account;Manors;users Handmade;../fake-data/blob/hipster.txt;Street;true;Concrete;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Buckinghamshire;streamline Planner Cove
8;Tools Practical Fresh Shirt Metal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Jamaica;compressing attitude-oriented niches;Investment Account;Louisiana North Carolina forecast;../fake-data/blob/hipster.txt;Checking Account;true;Compatible unleash;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Facilitator Planner XML;neutral Bedfordshire
9;payment Glens Bedfordshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;directional Gloves Unbranded;Ergonomic Granite Mouse Customer;Towels Gorgeous Plastic Pants;XML;../fake-data/blob/hipster.txt;Sleek bypass;true;parse;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;exploit Credit Card Account;Clothing
10;Configuration Louisiana;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Toys;transmit orchestrate EXE;cyan pixel;Plastic;../fake-data/blob/hipster.txt;overriding;false;Syrian Pound whiteboard encryption;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Keyboard navigate;teal Balboa US Dollar
