id;product_name;handle;product_number;search_details;sell_count;active_ind;last_edited_by;last_edited_when
1;channels sexy;Gorgeous Rubber Mouse Berkshire;modular intermediate payment;../fake-data/blob/hipster.txt;96853;false;Checking Account Car;2019-10-21
2;Incredible Cotton Computer Nepalese Rupee Plaza;payment;deposit;../fake-data/blob/hipster.txt;70379;true;Organic Tenge;2019-10-21
3;Home Loan Account interface dedicated;Outdoors Sausages;Practical;../fake-data/blob/hipster.txt;15482;true;lime Accountability Electronics;2019-10-21
4;Credit Card Account whiteboard;e-commerce;incubate;../fake-data/blob/hipster.txt;93626;false;Views Integration;2019-10-21
5;generating lime Dominican Peso;deposit Avon index;Unbranded;../fake-data/blob/hipster.txt;74838;false;redundant AGP navigating;2019-10-21
6;synergies Planner Polarised;payment Reactive;blue deposit programming;../fake-data/blob/hipster.txt;5001;true;Books Grass-roots red;2019-10-21
7;Universal;bleeding-edge;program Home Loan Account;../fake-data/blob/hipster.txt;67287;true;productize;2019-10-21
8;SAS revolutionize Cambridgeshire;Saudi Arabia;benchmark;../fake-data/blob/hipster.txt;51361;true;matrix;2019-10-21
9;Licensed Cotton Table;plum haptic global;ubiquitous Internal deposit;../fake-data/blob/hipster.txt;78738;true;e-commerce AGP;2019-10-21
10;navigating Berkshire Nigeria;Data;networks;../fake-data/blob/hipster.txt;50008;false;e-markets Electronics matrices;2019-10-21
