id;orders_outers;description;received_outers;expected_unit_price_per_outer;last_receipt_date;is_order_line_finalized;last_edited_by;last_edited_when
1;2907;Pants Bacon;38767;9299;2019-10-21;true;Mission payment Ergonomic Rubber Bike;2019-10-21
2;70294;Generic Granite Chicken Auto Loan Account;60214;26982;2019-10-22;true;Borders;2019-10-22
3;14899;Gourde US Dollar;74592;78489;2019-10-21;true;neural;2019-10-21
4;52029;enable Plastic;73550;43401;2019-10-22;false;green Auto Loan Account;2019-10-21
5;76658;capacitor model Table;63755;63617;2019-10-21;true;Metal;2019-10-21
6;99112;navigate hard drive Intranet;20293;18447;2019-10-21;false;strategic Clothing Toys;2019-10-21
7;58647;Denar;92961;29872;2019-10-21;true;systematic;2019-10-21
8;22554;generate Estates Squares;43518;45818;2019-10-21;false;Rubber Small circuit;2019-10-21
9;90939;1080p Shoes;5728;15890;2019-10-22;true;Cotton;2019-10-21
10;92262;Ville Movies;28274;5705;2019-10-22;false;didactic;2019-10-22
