id;total_price;total_cargo_price;last_edited_by;last_edited_when
1;5544;56459;Multi-channelled Future system-worthy;2019-10-21
2;19666;10347;deposit Investor Bike;2019-10-21
3;54566;45288;Implementation Kyat implementation;2019-10-22
4;7103;30373;Incredible Rubber Sleek;2019-10-21
5;51326;79557;Cotton;2019-10-22
6;45236;64342;fuchsia Awesome Computer;2019-10-21
7;23684;82147;innovative;2019-10-21
8;36589;53727;Dominican Peso;2019-10-21
9;5469;62873;attitude-oriented;2019-10-22
10;17219;45556;Global Delaware;2019-10-21
