id;deal_description;start_date;end_date;discount_amount;discount_percentage;discount_code;unit_price;last_edited_by;last_edited_when
1;orchid;2019-10-22;2019-10-21;6900;29524;XML Lake Licensed;82674;Incredible Metal Chicken input world-class;2019-10-21
2;Cambridgeshire;2019-10-21;2019-10-21;4540;28247;functionalities;3757;Rubber generate;2019-10-22
3;paradigms Guinea;2019-10-22;2019-10-21;97307;20056;orange;1009;communities;2019-10-21
4;Handmade Concrete Chips;2019-10-21;2019-10-22;73172;66304;index synthesizing;42262;superstructure secured line;2019-10-21
5;compressing;2019-10-22;2019-10-22;37094;33696;Assistant recontextualize ivory;76248;Montenegro Tuna;2019-10-21
6;relationships;2019-10-21;2019-10-21;2067;16732;haptic;58377;Web;2019-10-22
7;executive Personal Loan Account;2019-10-21;2019-10-21;71442;12994;Colorado haptic firewall;17208;Representative Stream;2019-10-22
8;Fish Practical solid state;2019-10-22;2019-10-21;12512;72898;FTP 4th generation auxiliary;19524;sticky;2019-10-21
9;Liaison RAM;2019-10-21;2019-10-21;72705;67105;experiences Liberia;31198;Avon Buckinghamshire;2019-10-21
10;Regional Books optical;2019-10-22;2019-10-22;79754;70369;Facilitator partnerships;23497;firewall calculating;2019-10-21
