id;state_province_code;state_province_name;sales_territory;border;latest_recorded_population;valid_from;valid_to
1;Awesome Russian Federation;Pennsylvania Michigan;Cotton encompassing;Dynamic Home Loan Account;24435;2019-10-21;2019-10-21
2;methodology Integration Music;Pants;Avon;blue scalable Car;89676;2019-10-21;2019-10-22
3;Andorra;Rand Namibia Dollar Executive;incubate Agent TCP;Engineer Bedfordshire feed;82086;2019-10-21;2019-10-21
4;Mexico Gardens;override silver orchestration;tan program;Metal Auto Loan Account;28863;2019-10-22;2019-10-21
5;Sausages Haven;Checking Account frictionless;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;8786;2019-10-22;2019-10-22
6;Shoes Rubber Mall;users scalable;transmitting parse infrastructures;matrix Implementation Shirt;6649;2019-10-21;2019-10-21
7;Arizona synthesizing Fresh;override back-end hacking;open-source;payment National;31619;2019-10-21;2019-10-21
8;Tanzanian Shilling Lights;e-enable Plaza intranet;convergence Idaho customized;synthesize Bahrain;90647;2019-10-22;2019-10-21
9;Cotton Tactics;array Belize Dollar;optical;Borders reboot;57315;2019-10-21;2019-10-21
10;copy;Robust hack Electronics;application Cambridgeshire;scalable connecting Fantastic;84645;2019-10-21;2019-10-22
