id;quantity_on_hand;bin_location;last_stocktake_quantity;last_cost_price;reorder_level;targer_stock_level
1;69518;Personal Loan Account;86348;29827;13228;77550
2;97758;Connecticut Supervisor;91151;54425;22151;97577
3;5616;Grass-roots Grenada;17159;52054;16745;44066
4;46259;Beauty Granite platforms;6312;98273;39675;24997
5;47400;Prairie;86917;59536;53006;41514
6;46798;users overriding;89505;82025;85324;64874
7;67354;Granite dedicated;4606;75211;93082;51287
8;66079;quantify;31157;99573;84565;43526
9;25960;Garden streamline Hawaii;47870;41869;86207;21963
10;10540;Turkmenistan;51297;84387;28139;74229
