id;transaction_occurred_when;quantity;last_edited_by;last_edited_when
1;2019-10-21;94574;productivity;2019-10-21
2;2019-10-21;13168;pixel bypass Zloty;2019-10-22
3;2019-10-21;87304;Gloves Refined Metal Chips;2019-10-21
4;2019-10-22;84909;reinvent;2019-10-22
5;2019-10-21;83644;New Zealand maroon hard drive;2019-10-21
6;2019-10-21;60431;Square parsing;2019-10-21
7;2019-10-21;70938;Fantastic indexing Sudanese Pound;2019-10-21
8;2019-10-21;36298;SQL;2019-10-21
9;2019-10-22;11259;e-tailers FTP;2019-10-22
10;2019-10-22;96141;Dong deposit;2019-10-21
