id;supplier_category_name;valid_from;valid_to
1;teal Avon;2019-10-22;2019-10-21
2;data-warehouse South Carolina;2019-10-21;2019-10-21
3;Curve Health Handcrafted Cotton Shirt;2019-10-21;2019-10-21
4;port payment;2019-10-21;2019-10-21
5;solid state Handmade Granite Fish Rustic;2019-10-22;2019-10-22
6;Delaware Health Borders;2019-10-22;2019-10-21
7;Rhode Island Automotive;2019-10-21;2019-10-22
8;Belize PCI;2019-10-22;2019-10-22
9;Fantastic monetize Frozen;2019-10-21;2019-10-22
10;Turkish Lira overriding Rustic Metal Computer;2019-10-21;2019-10-21
