id;imported_template;imported_template_content_type;imported_failed_template;imported_failed_template_content_type;last_edited_by;last_edited_when
1;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;International Incredible Implementation;2019-10-21
2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;digital sky blue mobile;2019-10-21
3;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;value-added;2019-10-21
4;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Awesome Wooden Shirt;2019-10-21
5;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Indiana withdrawal Industrial;2019-10-21
6;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Sleek Wooden Ball Clothing;2019-10-21
7;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Program;2019-10-21
8;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;copying Automotive;2019-10-21
9;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Road Buckinghamshire Handcrafted Metal Keyboard;2019-10-21
10;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;override Bedfordshire Bacon;2019-10-21
