id;unit_measure_code;unit_measure_name
1;Intelligent Concrete Table Fresh;Cotton
2;Creative Personal Loan Account;Road Avon Oregon
3;systematic deposit magnetic;Fort virtual Personal Loan Account
4;Industrial Taka;Streamlined web services holistic
5;Ergonomic Fresh Chicken;THX Avon
6;withdrawal Consultant;index Alaska grey
7;bypassing;Investment Account backing up ADP
8;Spurs Usability;dynamic synthesize
9;Incredible Frozen Salad holistic Prairie;quantifying calculate
10;card 6th generation focus group;Guarani
