id;vehicle_registration;chiller_sensor_number;recorded_when;temperature;is_compressed;full_sensor_data;compressed_sensor_data
1;10252;Kids;13969;86969;true;Architect Architect Avon;Somali Shilling connecting Organized
2;42130;parsing;87712;35192;false;Oman pink;Universal
3;63104;Shoes protocol Cambridgeshire;60575;43804;true;Malta California;input Oregon fuchsia
4;18823;Shirt;5700;94779;true;bypassing Beauty;Awesome
5;20285;Director Guam methodical;99477;27421;true;mindshare;Auto Loan Account
6;58075;synthesize Gold magenta;35248;28379;false;Plastic Syrian Pound HDD;Generic Bedfordshire scalable
7;32857;Home Loan Account middleware transmit;7079;70327;true;primary Dobra Cambridgeshire;disintermediate deposit hardware
8;95797;Automotive;57979;20991;false;application Bike Pre-emptive;Unbranded Granite Bike Games
9;92114;Analyst Universal purple;75372;64592;false;Corporate;New Israeli Sheqel Auto Loan Account
10;75482;support Via;40547;16542;true;zero defect;National
